source_page,section,subsection,row_type,manager_fund_manager_strategy_label_raw,manager_fund_manager_strategy_label,manager_name_guess,product_name,flags,is_nav_stitched,is_fee_deducted,is_subscription_paused,fifty_underlying_start_date,return_1w_pct,return_mtd_pct,return_ytd_pct,return_2025_pct,return_2024_pct,return_2023_pct,return_2022_pct,return_2021_pct,return_2020_pct,return_2019_pct,sharpe_1y,max_drawdown_1y_pct,max_drawdown_hist_pct,extraction_quality_notes
2,主观选股,,index_or_benchmark,中证800指数,中证800指数,中证800指数,,,False,False,False,-,4.41,1.75,9.26,20.89,12.20,-10.37,-21.32,-0.76,25.79,33.71,2.12,-7.89,-70.83,
2,主观选股,,index_or_benchmark,恒生指数,恒生指数,恒生指数,,,False,False,False,-,-3.21,-4.99,-6.66,27.77,17.67,-13.82,-15.46,-14.08,-3.40,9.07,0.11,-12.64,-91.14,
2,主观选股,,product,聚鸣-刘晓龙,聚鸣-刘晓龙,聚鸣,聚鸣金选高山8号B[1],[1],True,False,False,2020-11-06,14.93,18.08,84.72,53.65,7.73,-12.68,-16.73,12.94,86.63,65.36,3.77,-9.38,-47.40,
2,主观选股,,product,成长 勤辰-崔莹,勤辰-崔莹,勤辰,勤辰金选创赢成长1号B,,False,False,False,2022-08-19,18.01,21.61,79.19,39.12,18.03,-0.55,-,26.50,81.00,65.53,3.57,-7.75,-29.50,
2,主观选股,,product,成长 希瓦-梁宏-全球,希瓦-梁宏-全球,希瓦,希瓦小牛精选FB[1],[1],True,False,False,2020-11-06,7.30,3.19,57.65,14.33,15.29,-2.54,-3.63,-4.84,79.81,57.88,1.74,-21.11,-45.40,
2,主观选股,,product,成长 合远-管华雨(100万起),合远-管华雨(100万起),合远,合远金选雨鸿B[1],[1],True,False,False,2022-07-15,9.52,5.91,36.25,24.22,0.53,-12.02,-,7.35,95.22,60.61,2.48,-11.55,-41.28,
2,主观选股,,product,"浑瑾-李岳,丁尧-全球,大中华-全部","浑瑾-李岳,丁尧-全球,大中华-全部",浑瑾,浑瑾岳桐金选1号B[1],[1],True,False,False,2026-04-17,5.69,4.51,35.54,39.20,25.09,-6.60,-12.69,-,-,-,3.58,-5.96,-22.65,
2,主观选股,,product,盘京-庄涛-全球,盘京-庄涛-全球,盘京,盘京金选盛信1号A[1],[1],True,False,False,2019-08-30,13.76,5.70,34.77,56.31,14.14,-10.85,-30.07,20.40,78.26,71.92,2.35,-14.57,-41.63,
2,主观选股,,product,成长 睿扬投资-王伟,睿扬投资-王伟,睿扬投资,睿扬优选B,,False,False,False,2024-05-24,11.30,8.57,29.69,49.52,-,-,-,-,-,-,2.47,-9.64,-9.64,
2,主观选股,,product,景林-高云程-全球,景林-高云程-全球,景林,景林春晓优选,,False,False,False,2025-09-12,9.35,6.68,29.42,48.36,27.59,-14.18,-21.38,-6.71,58.20,68.71,2.58,-10.76,-53.78,
2,主观选股,,product,成长 慎知-余海丰,慎知-余海丰,慎知,慎知资产慎知3号金选B[1],[1],True,False,False,2021-02-05,8.26,4.55,27.43,19.32,20.81,-13.08,1.33,10.43,-1.90,44.92,2.33,-6.66,-29.33,
2,主观选股,,product,成长 开思私募-陈京伟-中国香港,开思私募-陈京伟-中国香港,开思私募,开思金选港股通1号B[1],[1],True,False,False,2023-03-31,2.81,0.09,26.12,47.05,28.17,-4.56,11.97,13.15,32.14,31.76,1.85,-10.80,-22.19,
2,主观选股,,product,嘉实基金-邵健,嘉实基金-邵健,嘉实基金,嘉实睿远进取增长2号[1],[1],True,False,False,2019-11-29,9.44,7.50,21.70,26.16,-1.51,-7.22,-18.38,2.94,65.31,43.60,1.78,-11.87,-49.22,
2,主观选股,,product,成长 白犀-李海-全球,白犀-李海-全球,白犀,白犀金选辛巴达之影10号[1][3],[1];[3],True,False,True,2022-04-08,11.09,7.27,21.40,22.91,-0.31,9.01,-21.92,45.52,89.14,108.02,1.51,-14.71,-24.06,
2,主观选股,,product,成长 名禹资产-陈美风,名禹资产-陈美风,名禹资产,名禹沐风1期[1],[1],True,False,False,-,5.99,1.73,14.78,27.97,-2.06,-0.42,-7.37,37.24,55.99,33.53,1.71,-15.38,-22.03,
2,主观选股,,product,淡水泉-赵军-平衡,淡水泉-赵军-平衡,淡水泉,淡水泉专项10期_20200930[2],[2],False,True,False,2024-05-17,6.10,1.21,14.32,54.42,18.82,-18.94,-21.14,2.34,49.19,35.12,2.32,-12.22,-49.90,
2,主观选股,,product,成长 远信-周伟锋,远信-周伟锋,远信,远信中国价值成长金选1号B[1],[1],True,False,False,2022-07-15,2.17,3.97,8.20,28.26,-1.85,-5.84,0.27,50.94,-,39.46,1.18,-12.60,-46.87,
2,主观选股,,product,"博道基金-王旭冉-大中华-混合,仓位成长 择时","博道基金-王旭冉-大中华-混合,仓位 择时",博道基金,博道金选1号[1],[1],True,False,False,2025-09-19,6.11,4.65,8.13,31.05,-,-,-,-,-,-,1.10,-6.90,-7.53,product_line_not_found_for_manager_backfill
